id,num_views,num_votes,num_comments
21523,1,1,0
87152,1,1,0
182789,1,1,0
312571,1,1,0
246776,1,1.422725,0
86278,1,3.041859,0
408061,1,1.81187,0
119989,1,1.811865,0
247786,1,3.044565,0
33437,1,1.964802,0
289286,1,1.494098,0
221744,1,1.812061,0
997,1,3.353557,0
90859,1,3.312177,0
57506,1,1.51507,0
292764,1,2.877153,0
341866,1,1.459497,0
43264,1,5.009071,0.518424
116615,1,3.77636,0.054652
310135,1,3.190495,0
310390,1,2.419574,0
64227,1,1.107355,0
97169,1,1.390006,0
278233,1,1.143329,0
133916,1,2.416806,0
159346,1,1.372808,0
251770,1,2.838017,0
36636,1,1.063969,0
356915,1,1.065706,0
25053,1,1.599809,0
77956,1,3.881788,0.130988
80731,1,3.530168,0
35291,1,2.847183,0
27549,1,1.481729,0
325665,1,1.304616,0
29799,1,1.192497,0
315705,1,2.328356,0.448024
141823,1,2.439274,0
252646,1,1.540441,0
401397,1,2.809315,0
283991,1,1.463655,0
63621,1,1.33653,0
296435,1,2.040711,0.189696
353091,1,1.099079,0
255062,1,1.440621,0
142200,1,5.353331,0.45106
203180,1,1.777191,0
20847,1,1.081916,0
280555,1,3.466621,0
67559,1,1.246449,0
266083,1,1.359717,0
280439,1,1.195145,0
270045,1,1.258148,0
364853,1,1.178625,0
393463,1,1.472892,0
84824,1,1.214677,0
380087,1,1.337542,0
211433,1,2.213822,0
117890,1,2.907386,0
264491,1,1.125198,0
20472,1,1.338898,0
47772,1,1.471165,0
35990,1,1.205209,0
145389,1,1.215696,0
404495,1,1.130599,0
72860,1,1.007939,0
115494,1,2.991819,0
135644,1,3.973638,0.091436
275405,1,1.321741,0
21041,1,1.204996,0
62209,1,1.37824,0
319927,1,1.186858,0
48544,1,2.935011,0
359567,1,1.263022,0
212172,1,1.592163,0
252166,1,1.372281,0
76443,1,3.657152,0
301351,1,1.811175,0
40984,1,1.175811,0
104051,1,1.267636,0
32257,1,1.636822,0
70397,1,2.604016,0
22998,1,1.43619,0
330597,1,2.81423,0
256448,1,2.462426,0
248174,1,1.209474,0
32372,1,1.12078,0
21817,1,1.114471,0
345545,1,1.113573,0
352372,1,1.113629,0
18905,1,1.125535,0
293060,1,1.125537,0
270699,1,1.121495,0
253377,1,1.127082,0
59013,1,1.13225,0
218153,1,1.137349,0
252011,1,1.142887,0
265455,1,1.142669,0
123714,1,1.142967,0
13499,1,1.352358,0
270618,1,2.874251,0
168439,1,3.573271,0
2851,1,3.581505,0
258445,1,3.504114,0
99854,1,6.592091,0.64894
374779,1,3.57798,0
324995,1,3.555393,0
132099,1,1.362024,0
279075,1,3.560669,0
9138,1,3.626852,0
84166,1,1.556682,0
88128,1,3.562469,0
289494,1,1.291489,0
316802,1,3.595057,0
237030,1,1.479029,0
323680,1,3.493364,0
177554,1,3.56642,0
70259,1,3.482898,0
398128,1,3.478288,0
279140,1,3.502784,0
39289,1,3.561323,0
138943,1,3.595984,0
130855,1,1.352188,0
33998,1,3.620271,0
236280,1,3.547456,0
132175,1,3.547339,0
7618,1,3.582432,0
