id,num_views,num_votes,num_comments
21523,3.913654,1.168538,0
87152,3.912438,1.168483,0
182789,1.321412,1.041633,0
312571,14.846855,1.843229,0
246776,11.455773,1.422725,0
86278,23.931217,3.041859,0
408061,22.994591,1.81187,0
119989,22.99445,1.811865,0
247786,23.95426,3.044565,0
33437,23.956325,1.964802,0
289286,7.888495,1.494098,0
221744,22.999773,1.812061,0
997,29.515426,3.353557,0
90859,26.184902,3.312177,0
57506,7.787508,1.51507,0
292764,21.108686,2.877153,0
341866,10.673276,1.459497,0
43264,43.699532,5.009071,0.518424
116615,33.752776,3.77636,0.054652
310135,31.354362,3.190495,0
310390,17.189039,2.419574,0
64227,2.658495,1.107355,0
97169,9.11152,1.390006,0
278233,4.280681,1.143329,0
133916,16.761552,2.416806,0
159346,6.377408,1.372808,0
251770,23.585958,2.838017,0
36636,3.719712,1.063969,0
356915,4.713258,1.065706,0
25053,11.817197,1.599809,0
77956,33.437404,3.881788,0.130988
80731,30.209185,3.530168,0
35291,23.128686,2.847183,0
27549,13.744644,1.481729,0
325665,9.801136,1.304616,0
29799,4.581762,1.192497,0
315705,33.104103,2.328356,0.448024
141823,18.27477,2.439274,0
252646,8.314092,1.540441,0
401397,23.51306,2.809315,0
283991,6.695688,1.463655,0
63621,5.292525,1.33653,0
296435,33.681165,2.040711,0.189696
353091,2.826777,1.099079,0
255062,12.816779,1.440621,0
142200,27.952541,5.353331,0.45106
203180,13.382084,1.777191,0
20847,2.443219,1.081916,0
280555,29.427792,3.466621,0
67559,6.615024,1.246449,0
266083,11.011603,1.359717,0
280439,4.474851,1.195145,0
270045,6.217417,1.258148,0
364853,7.087213,1.178625,0
393463,10.448933,1.472892,0
84824,5.460939,1.214677,0
380087,10.521138,1.337542,0
211433,0,2.213822,0
117890,5.34765,2.907386,0
264491,3.414157,1.125198,0
20472,10.552243,1.338898,0
47772,10.935816,1.471165,0
35990,5.730099,1.205209,0
145389,5.485133,1.215696,0
404495,2.191621,1.130599,0
72860,3.523045,1.007939,0
